Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO MIZUHO S.A.;0,08;0,98
2;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO HSBC S.A.;0,41;5,05
3;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO RABOBANK INTL BRASIL S.A.;0,45;5,53
4;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO DO BRASIL S.A.;0,47;5,83
5;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO SUMITOMO MITSUI BRASIL S.A.;0,50;6,14
6;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO BRADESCO S.A.;0,51;6,23
7;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;ITAÚ UNIBANCO S.A.;0,52;6,41
8;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO CITIBANK S.A.;0,53;6,52
9;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO DO ESTADO DO RS S.A.;0,53;6,52
10;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO SANTANDER (BRASIL) S.A.;0,57;7,10
11;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO VOTORANTIM S.A.;0,61;7,54
12;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO ABC BRASIL S.A.;0,61;7,55
13;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;CAIXA ECONOMICA FEDERAL;0,62;7,70
14;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO DO NORDESTE DO BRASIL S.A.;0,64;7,91
15;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO CAIXA GERAL BRASIL S.A.;0,65;8,09
16;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO SAFRA S.A.;0,66;8,23
17;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO COOPERATIVO SICREDI S.A.;0,67;8,37
18;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BANCO SICOOB S.A.;0,69;8,62
19;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO SOFISA S.A.;0,70;8,76
20;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO BOCOM BBM S.A.;0,72;9,00
21;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;OURIBANK S.A.;0,73;9,15
22;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO DAYCOVAL S.A;0,77;9,66
23;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO INDUSTRIAL DO BRASIL S.A.;0,80;9,98
24;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO C6 S.A.;0,81;10,14
25;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO CARGILL S.A.;0,84;10,50
26;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO RENDIMENTO S.A.;0,84;10,55
27;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;BCO FIBRA S.A.;0,88;11,05
28;Pessoa Jurídica;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;TRAVELEX BANCO DE CÂMBIO S.A.;0,95;12,00
