Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BANCO BARI S.A.;0,55;6,84
2;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BCO BANESTES S.A.;0,72;9,02
3;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BCO COOPERATIVO SICREDI S.A.;0,80;10,09
4;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BCO DO BRASIL S.A.;0,81;10,18
5;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;CAIXA ECONOMICA FEDERAL;0,82;10,26
6;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BCO DO EST. DO PA S.A.;0,82;10,35
7;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BCO DO ESTADO DO RS S.A.;0,83;10,43
8;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;ITAÚ UNIBANCO S.A.;0,83;10,46
9;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BCO BRADESCO S.A.;0,85;10,70
10;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BCO SANTANDER (BRASIL) S.A.;0,89;11,25
11;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BANCO SICOOB S.A.;0,92;11,55
12;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BANCO INTER;0,98;12,38
