Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO VOLKSWAGEN S.A;0,19;2,30
2;Pessoa Física;Aquisição de outros bens - Pré-fixado;SINOSSERRA S/A - SCFI;0,21;2,54
3;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO DE LAGE LANDEN BRASIL S.A.;0,61;7,51
4;Pessoa Física;Aquisição de outros bens - Pré-fixado;STARA FINANCEIRA S.A. - CFI;1,07;13,61
5;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO CATERPILLAR S.A.;1,11;14,15
6;Pessoa Física;Aquisição de outros bens - Pré-fixado;BANCO SICOOB S.A.;1,34;17,35
7;Pessoa Física;Aquisição de outros bens - Pré-fixado;BANCO CNH INDUSTRIAL CAPITAL S.A;1,35;17,41
8;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO VOLVO BRASIL S.A.;1,39;17,99
9;Pessoa Física;Aquisição de outros bens - Pré-fixado;FINANC ALFA S.A. CFI;1,47;19,16
10;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO DO EST. DO PA S.A.;1,67;21,94
11;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO BANESTES S.A.;1,74;23,07
12;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO BRADESCO S.A.;1,76;23,23
13;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO DO ESTADO DO RS S.A.;1,82;24,20
14;Pessoa Física;Aquisição de outros bens - Pré-fixado;TODESCREDI S/A - CFI;1,94;25,92
15;Pessoa Física;Aquisição de outros bens - Pré-fixado;AYMORÉ CFI S.A.;1,95;26,06
16;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO SANTANDER (BRASIL) S.A.;2,00;26,86
17;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO VOTORANTIM S.A.;2,14;28,86
18;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO DO BRASIL S.A.;2,36;32,33
19;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO SENFF S.A.;2,94;41,51
20;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO BRADESCO FINANC. S.A.;3,08;43,97
21;Pessoa Física;Aquisição de outros bens - Pré-fixado;LEBES FINANCEIRA CFI SA;3,20;45,90
22;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO RENDIMENTO S.A.;3,69;54,47
23;Pessoa Física;Aquisição de outros bens - Pré-fixado;BECKER FINANCEIRA SA - CFI;4,17;63,31
24;Pessoa Física;Aquisição de outros bens - Pré-fixado;CREDIARE CFI S.A.;4,22;64,12
25;Pessoa Física;Aquisição de outros bens - Pré-fixado;KREDILIG S.A. - CFI;4,27;65,06
26;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO HONDA S.A.;4,29;65,60
27;Pessoa Física;Aquisição de outros bens - Pré-fixado;HS FINANCEIRA;4,56;70,75
28;Pessoa Física;Aquisição de outros bens - Pré-fixado;CENTROCRED S.A. CFI;4,74;74,35
29;Pessoa Física;Aquisição de outros bens - Pré-fixado;VIA CERTA FINANCIADORA S.A. - CFI;5,78;96,37
30;Pessoa Física;Aquisição de outros bens - Pré-fixado;BANCO INTER;5,94;99,76
31;Pessoa Física;Aquisição de outros bens - Pré-fixado;GRAZZIOTIN FINANCEIRA S/A;6,21;105,98
32;Pessoa Física;Aquisição de outros bens - Pré-fixado;MERCADO CRÉDITO SCFI S.A.;6,91;123,01
33;Pessoa Física;Aquisição de outros bens - Pré-fixado;BANCO SEMEAR;7,14;128,87
34;Pessoa Física;Aquisição de outros bens - Pré-fixado;GAZINCRED S.A. SCFI;7,15;129,16
35;Pessoa Física;Aquisição de outros bens - Pré-fixado;NEGRESCO S.A. - CFI;7,33;133,60
36;Pessoa Física;Aquisição de outros bens - Pré-fixado;ZEMA CFI S/A;7,34;134,00
37;Pessoa Física;Aquisição de outros bens - Pré-fixado;AGORACRED S/A SCFI;7,44;136,50
