Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Aquisição de veículos - Pré-fixado;BMW FINANCEIRA S.A. - CFI;0,71;8,82
2;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO GM S.A.;1,08;13,76
3;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO DA AMAZONIA S.A.;1,09;13,91
4;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO MERCEDES-BENZ S.A.;1,09;13,94
5;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO VOLVO BRASIL S.A.;1,15;14,74
6;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO RCI BRASIL S.A.;1,17;14,94
7;Pessoa Física;Aquisição de veículos - Pré-fixado;STELLANTIS FINANCIAMENTOS CFI;1,18;15,14
8;Pessoa Física;Aquisição de veículos - Pré-fixado;SCANIA BCO S.A.;1,22;15,59
9;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO PACCAR S.A.;1,26;16,20
10;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO VOLKSWAGEN S.A;1,37;17,72
11;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO SAFRA S.A.;1,37;17,75
12;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO. J.SAFRA S.A.;1,41;18,33
13;Pessoa Física;Aquisição de veículos - Pré-fixado;BANCO CNH INDUSTRIAL CAPITAL S.A;1,54;20,08
14;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO BRADESCO S.A.;1,57;20,50
15;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO RODOBENS S.A.;1,59;20,78
16;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO BANESTES S.A.;1,61;21,09
17;Pessoa Física;Aquisição de veículos - Pré-fixado;BANCO MONEO S.A.;1,62;21,32
18;Pessoa Física;Aquisição de veículos - Pré-fixado;BANCO HYUNDAI CAPITAL BRASIL;1,64;21,56
19;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO TOYOTA DO BRASIL S.A.;1,64;21,58
20;Pessoa Física;Aquisição de veículos - Pré-fixado;FINANC ALFA S.A. CFI;1,66;21,83
21;Pessoa Física;Aquisição de veículos - Pré-fixado;SAFRA CFI S.A.;1,73;22,81
22;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO DO BRASIL S.A.;1,82;24,18
23;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO BRASILEIRO DE CRÉDITO S.A.;1,83;24,28
24;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO C6 S.A.;1,85;24,65
25;Pessoa Física;Aquisição de veículos - Pré-fixado;PORTOSEG S.A. CFI;1,89;25,12
26;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO GUANABARA S.A.;1,92;25,67
27;Pessoa Física;Aquisição de veículos - Pré-fixado;ITAÚ UNIBANCO HOLDING S.A.;1,95;26,03
28;Pessoa Física;Aquisição de veículos - Pré-fixado;CAIXA ECONOMICA FEDERAL;1,96;26,27
29;Pessoa Física;Aquisição de veículos - Pré-fixado;AYMORÉ CFI S.A.;1,97;26,31
30;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO BRADESCO FINANC. S.A.;1,97;26,33
31;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO SANTANDER (BRASIL) S.A.;1,98;26,57
32;Pessoa Física;Aquisição de veículos - Pré-fixado;SINOSSERRA S/A - SCFI;2,07;27,83
33;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO VOTORANTIM S.A.;2,13;28,70
34;Pessoa Física;Aquisição de veículos - Pré-fixado;BANCO BTG PACTUAL S.A.;2,24;30,41
35;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO HONDA S.A.;2,25;30,57
36;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO YAMAHA MOTOR S.A.;2,49;34,32
37;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO DIGIMAIS S.A.;2,58;35,82
38;Pessoa Física;Aquisição de veículos - Pré-fixado;FINAMAX S.A. CFI;2,81;39,47
39;Pessoa Física;Aquisição de veículos - Pré-fixado;SIMPALA S.A. CFI;2,84;39,98
40;Pessoa Física;Aquisição de veículos - Pré-fixado;BCO DAYCOVAL S.A;2,99;42,33
41;Pessoa Física;Aquisição de veículos - Pré-fixado;BANCO PAN;3,02;42,93
42;Pessoa Física;Aquisição de veículos - Pré-fixado;OMNI SA CFI;3,26;46,91
