Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BANCO MASTER;2,41;33,02
2;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;PARANA BCO S.A.;2,95;41,75
3;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO DAYCOVAL S.A;4,13;62,53
4;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BANCO GENIAL;4,40;67,63
5;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO INDUSTRIAL DO BRASIL S.A.;5,00;79,55
6;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO MERCANTIL DO BRASIL S.A.;5,76;95,73
7;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO BMG S.A.;6,27;107,56
8;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO STELLANTIS S.A.;9,07;183,56
9;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO RENDIMENTO S.A.;9,17;186,71
10;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BANCO SICOOB S.A.;9,29;190,50
11;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BANCO BARI S.A.;9,54;198,59
12;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO XP S.A.;10,12;217,80
13;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO AGIBANK S.A.;10,62;235,70
14;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BANCO BTG PACTUAL S.A.;10,87;244,89
15;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;CAIXA ECONOMICA FEDERAL;11,05;251,68
16;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;HS FINANCEIRA;11,09;253,17
17;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO SOFISA S.A.;11,73;278,29
18;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;CARUANA SCFI;12,10;293,66
19;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;NOVO BCO CONTINENTAL S.A. - BM;12,12;294,61
20;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO DO NORDESTE DO BRASIL S.A.;12,43;308,09
21;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO DO BRASIL S.A.;12,83;325,86
22;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO DIGIMAIS S.A.;12,84;326,23
23;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO BANESTES S.A.;12,95;331,16
24;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;NU FINANCEIRA S.A. CFI;13,26;345,38
25;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO SAFRA S.A.;13,53;358,53
26;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;ITAÚ UNIBANCO HOLDING S.A.;13,60;361,66
27;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO BRADESCO S.A.;14,03;383,29
28;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BANCO INTER;14,20;392,17
29;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO SANTANDER (BRASIL) S.A.;14,40;402,41
30;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;KREDILIG S.A. - CFI;15,04;437,24
31;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;SCFI EFÍ S.A.;15,14;442,81
32;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BANCO CNH INDUSTRIAL CAPITAL S.A;15,33;453,51
33;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BANCO BRADESCARD;15,60;469,52
34;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;ZEMA CFI S/A;16,13;501,38
35;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BANCO PAN;16,48;523,77
36;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;LUIZACRED S.A. SCFI;16,51;525,59
37;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO C6 S.A.;16,53;527,21
38;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;PORTOSEG S.A. CFI;16,65;534,70
39;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;FIN. ITAU CBD CFI;16,86;548,87
40;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;CREDIARE CFI S.A.;16,89;550,45
41;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BANCO INVESTCRED UNIBANCO S.A.;16,95;554,43
42;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;MERCADO CRÉDITO SCFI S.A.;16,95;554,52
43;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO DO EST. DO PA S.A.;16,99;557,05
44;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO DO ESTADO DO RS S.A.;17,03;559,89
45;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;HIPERCARD BM S.A.;17,03;559,98
46;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO SENFF S.A.;17,37;583,60
47;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO BV S.A.;17,91;622,44
48;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;PICPAY BANK - BANCO MÚLTIPLO S.A;18,11;636,73
49;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BANCO DIGIO;18,41;659,42
50;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO CSF S.A.;18,73;684,41
51;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;M PAGAMENTOS S.A. CFI;18,99;705,89
52;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BCO DO EST. DE SE S.A.;19,00;706,11
53;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;BANCO ORIGINAL;19,02;708,32
54;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;REALIZE CFI S.A.;19,09;713,39
55;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;VIA CERTA FINANCIADORA S.A. - CFI;19,18;721,33
56;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;OMNI BANCO S.A.;19,99;790,53
57;Pessoa Física;Cartão de crédito - rotativo total - Pré-fixado;PEFISA S.A. - C.F.I.;20,03;794,30
