Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Cheque especial - Pré-fixado;BANCO GENIAL;1,58;20,68
2;Pessoa Física;Cheque especial - Pré-fixado;BANCO PAN;1,82;24,13
3;Pessoa Física;Cheque especial - Pré-fixado;BCO ALFA S.A.;2,50;34,46
4;Pessoa Física;Cheque especial - Pré-fixado;BANCO ORIGINAL;2,99;42,34
5;Pessoa Física;Cheque especial - Pré-fixado;BANCO SICOOB S.A.;4,46;68,82
6;Pessoa Física;Cheque especial - Pré-fixado;BCO SOFISA S.A.;4,52;69,88
7;Pessoa Física;Cheque especial - Pré-fixado;BCO DO NORDESTE DO BRASIL S.A.;5,03;80,19
8;Pessoa Física;Cheque especial - Pré-fixado;BCO ABC BRASIL S.A.;5,37;87,37
9;Pessoa Física;Cheque especial - Pré-fixado;BCO BANESTES S.A.;5,79;96,54
10;Pessoa Física;Cheque especial - Pré-fixado;BRB - BCO DE BRASILIA S.A.;6,04;102,03
11;Pessoa Física;Cheque especial - Pré-fixado;BCO DO EST. DO PA S.A.;7,03;126,09
12;Pessoa Física;Cheque especial - Pré-fixado;BCO DAYCOVAL S.A;7,46;137,13
13;Pessoa Física;Cheque especial - Pré-fixado;BCO XP S.A.;7,53;138,85
14;Pessoa Física;Cheque especial - Pré-fixado;BCO DA AMAZONIA S.A.;7,83;147,05
15;Pessoa Física;Cheque especial - Pré-fixado;BCO DO BRASIL S.A.;7,88;148,57
16;Pessoa Física;Cheque especial - Pré-fixado;CAIXA ECONOMICA FEDERAL;7,90;149,11
17;Pessoa Física;Cheque especial - Pré-fixado;BCO DO ESTADO DO RS S.A.;7,94;150,05
18;Pessoa Física;Cheque especial - Pré-fixado;BCO SAFRA S.A.;7,97;150,98
19;Pessoa Física;Cheque especial - Pré-fixado;BANCO INTER;7,98;151,33
20;Pessoa Física;Cheque especial - Pré-fixado;BANCO BTG PACTUAL S.A.;8,09;154,28
21;Pessoa Física;Cheque especial - Pré-fixado;BCO INDUSTRIAL DO BRASIL S.A.;8,11;154,81
22;Pessoa Física;Cheque especial - Pré-fixado;BCO RENDIMENTO S.A.;8,19;157,21
23;Pessoa Física;Cheque especial - Pré-fixado;BCO DO EST. DE SE S.A.;8,25;158,77
24;Pessoa Física;Cheque especial - Pré-fixado;BCO SANTANDER (BRASIL) S.A.;8,26;159,15
25;Pessoa Física;Cheque especial - Pré-fixado;BCO C6 S.A.;8,27;159,59
26;Pessoa Física;Cheque especial - Pré-fixado;BCO AGIBANK S.A.;8,27;159,59
27;Pessoa Física;Cheque especial - Pré-fixado;BCO TRIANGULO S.A.;8,27;159,60
28;Pessoa Física;Cheque especial - Pré-fixado;ITAÚ UNIBANCO S.A.;8,33;161,07
29;Pessoa Física;Cheque especial - Pré-fixado;BCO BRADESCO S.A.;8,37;162,28
30;Pessoa Física;Cheque especial - Pré-fixado;BCO MERCANTIL DO BRASIL S.A.;8,40;163,23
