Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BANCO INBURSA;1,44;18,71
2;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;HS FINANCEIRA;1,51;19,72
3;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO BANESTES S.A.;1,51;19,73
4;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;NU FINANCEIRA S.A. CFI;1,53;19,99
5;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO DO ESTADO DO RS S.A.;1,54;20,08
6;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO SAFRA S.A.;1,54;20,14
7;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO PAULISTA S.A.;1,54;20,14
8;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BANCO DIGIO;1,55;20,24
9;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO COOPERATIVO SICREDI S.A.;1,57;20,56
10;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;FACTA S.A. CFI;1,58;20,70
11;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO DAYCOVAL S.A;1,59;20,86
12;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;FINANC ALFA S.A. CFI;1,59;20,87
13;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BANCO SICOOB S.A.;1,60;20,92
14;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;PICPAY BANK - BANCO MÚLTIPLO S.A;1,62;21,20
15;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BANCO INTER;1,62;21,22
16;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BANCO PAN;1,62;21,24
17;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;COBUCCIO S.A. SCFI;1,63;21,46
18;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BANCO BARI S.A.;1,64;21,52
19;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO C6 CONSIG;1,64;21,61
20;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;CAIXA ECONOMICA FEDERAL;1,65;21,64
21;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO AGIBANK S.A.;1,65;21,69
22;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO BMG S.A.;1,65;21,70
23;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BANCO ITAÚ CONSIGNADO S.A.;1,66;21,79
24;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO DO BRASIL S.A.;1,66;21,85
25;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO SANTANDER (BRASIL) S.A.;1,67;21,92
26;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BRB - CFI S/A;1,68;22,08
27;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO BRADESCO S.A.;1,68;22,12
28;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;PEFISA S.A. - C.F.I.;1,68;22,14
29;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO MERCANTIL DO BRASIL S.A.;1,69;22,27
30;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO CREFISA S.A.;1,69;22,29
31;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO DA AMAZONIA S.A.;1,70;22,36
32;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;ZEMA CFI S/A;1,70;22,37
33;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BECKER FINANCEIRA SA - CFI;1,70;22,41
34;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;ITAÚ UNIBANCO S.A.;1,70;22,45
35;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO DO NORDESTE DO BRASIL S.A.;1,72;22,69
36;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO CSF S.A.;1,72;22,73
37;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;BCO DO EST. DE SE S.A.;1,73;22,78
38;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;GAZINCRED S.A. SCFI;1,73;22,88
39;Pessoa Física;Crédito pessoal consignado INSS - Pré-fixado;PARANA BCO S.A.;1,78;23,53
