Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;COMPREV CFI S.A.;1,48;19,26
2;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BANCO SICOOB S.A.;1,56;20,35
3;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;COBUCCIO S.A. SCFI;1,63;21,43
4;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO DAYCOVAL S.A;1,77;23,49
5;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO PAULISTA S.A.;1,81;24,05
6;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO DO EST. DE SE S.A.;1,85;24,53
7;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;FINANC ALFA S.A. CFI;1,86;24,67
8;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO BMG S.A.;1,87;24,84
9;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;CAIXA ECONOMICA FEDERAL;1,94;25,94
10;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO VOLKSWAGEN S.A;1,96;26,29
11;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO RIBEIRAO PRETO S.A.;2,03;27,20
12;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO AGIBANK S.A.;2,07;27,83
13;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO DO BRASIL S.A.;2,10;28,36
14;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BANCO INBURSA;2,15;29,02
15;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO SAFRA S.A.;2,23;30,29
16;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO DIGIMAIS S.A.;2,26;30,83
17;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;KREDILIG S.A. - CFI;2,28;31,10
18;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BANCO RANDON S.A.;2,28;31,10
19;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;TODESCREDI S/A - CFI;2,33;31,88
20;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;PINTOS S.A. CFI;2,47;34,02
21;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BANCO INTER;2,49;34,34
22;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BECKER FINANCEIRA SA - CFI;2,53;35,00
23;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO DO EST. DO PA S.A.;2,54;35,14
24;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO DO NORDESTE DO BRASIL S.A.;2,58;35,69
25;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BANCO BARI S.A.;2,58;35,74
26;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;GOLCRED S/A - CFI;2,59;35,94
27;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO INDUSTRIAL DO BRASIL S.A.;2,60;36,02
28;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BANCO BTG PACTUAL S.A.;2,73;38,21
29;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;ZEMA CFI S/A;2,75;38,44
30;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO BRADESCO S.A.;2,80;39,20
31;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO BANESTES S.A.;2,80;39,36
32;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;HS FINANCEIRA;2,81;39,39
33;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;ITAÚ UNIBANCO S.A.;2,83;39,81
34;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;PORTOSEG S.A. CFI;2,90;40,85
35;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO SANTANDER (BRASIL) S.A.;2,92;41,24
36;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;SINOSSERRA S/A - SCFI;2,98;42,17
37;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;GAZINCRED S.A. SCFI;3,06;43,52
38;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;AL5 S.A. CFI;3,11;44,36
39;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;NOVO BCO CONTINENTAL S.A. - BM;3,29;47,52
40;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;SANTINVEST S.A. - CFI;3,35;48,48
41;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO VR S.A.;3,41;49,57
42;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO DO ESTADO DO RS S.A.;3,45;50,21
43;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO VOTORANTIM S.A.;3,72;54,92
44;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BCO RODOBENS S.A.;3,74;55,37
45;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;FINAMAX S.A. CFI;4,27;65,08
46;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;NEON FINANCEIRA - CFI S.A.;4,55;70,57
47;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;VIA CERTA FINANCIADORA S.A. - CFI;4,56;70,81
48;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;BRB - CFI S/A;4,60;71,61
49;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;RPW S.A. SCFI;5,17;83,04
50;Pessoa Física;Crédito pessoal consignado privado - Pré-fixado;NEGRESCO S.A. - CFI;5,62;92,77
