Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BANCO ITAÚ CONSIGNADO S.A.;1,14;14,61
2;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO BANESTES S.A.;1,29;16,57
3;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;NU FINANCEIRA S.A. CFI;1,41;18,27
4;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO COOPERATIVO SICREDI S.A.;1,42;18,44
5;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO ALFA S.A.;1,49;19,47
6;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;CAIXA ECONOMICA FEDERAL;1,50;19,60
7;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO DO ESTADO DO RS S.A.;1,53;20,03
8;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;FINANC ALFA S.A. CFI;1,53;20,05
9;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BRB - CFI S/A;1,54;20,08
10;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BRB - BCO DE BRASILIA S.A.;1,55;20,24
11;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;NOVO BCO CONTINENTAL S.A. - BM;1,55;20,27
12;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO DO NORDESTE DO BRASIL S.A.;1,56;20,39
13;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO SAFRA S.A.;1,56;20,44
14;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BANCOSEGURO S.A.;1,58;20,64
15;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO ARBI S.A.;1,58;20,65
16;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BANCO SICOOB S.A.;1,58;20,68
17;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO DO EST. DO PA S.A.;1,59;20,86
18;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;PICPAY BANK - BANCO MÚLTIPLO S.A;1,66;21,82
19;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;ITAÚ UNIBANCO S.A.;1,67;21,94
20;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO AGIBANK S.A.;1,67;22,01
21;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO C6 CONSIG;1,68;22,13
22;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BANCO INBURSA;1,70;22,38
23;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BANCO INTER;1,70;22,48
24;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO BRADESCO S.A.;1,71;22,49
25;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;SANTINVEST S.A. - CFI;1,71;22,51
26;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO DO BRASIL S.A.;1,73;22,91
27;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO SANTANDER (BRASIL) S.A.;1,74;22,97
28;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;PARANA BCO S.A.;1,79;23,69
29;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BANCO PAN;1,81;23,96
30;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO PAULISTA S.A.;1,83;24,25
31;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO CREFISA S.A.;1,87;24,83
32;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO DO EST. DE SE S.A.;1,87;24,94
33;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO DAYCOVAL S.A;1,92;25,61
34;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO BMG S.A.;2,02;27,09
35;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;COMPREV CFI S.A.;2,02;27,10
36;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO INDUSTRIAL DO BRASIL S.A.;2,09;28,18
37;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;SIMPALA S.A. CFI;2,19;29,72
38;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BANCO BARI S.A.;2,20;29,91
39;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BCO SENFF S.A.;2,27;30,92
40;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;FACTA S.A. CFI;2,34;31,98
41;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;SOCINAL S.A. CFI;3,51;51,23
42;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;BANCO MASTER;3,97;59,60
43;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;LECCA CFI S.A.;4,68;73,11
44;Pessoa Física;Crédito pessoal consignado público - Pré-fixado;QISTA S.A. CFI;4,86;76,79
