Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BANCO SICOOB S.A.;0,13;1,51
2;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;NOVO BCO CONTINENTAL S.A. - BM;1,33;17,14
3;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO ARBI S.A.;1,40;18,16
4;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;ITAÚ UNIBANCO HOLDING S.A.;1,46;19,03
5;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO SAFRA S.A.;1,47;19,09
6;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO BS2 S.A.;1,64;21,58
7;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;PLANTAE CFI;1,67;22,00
8;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BANCO ITAÚ CONSIGNADO S.A.;1,70;22,44
9;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO. J.SAFRA S.A.;1,72;22,67
10;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BANCO INTER;1,76;23,27
11;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BANCO ORIGINAL;1,78;23,51
12;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;TENTOS S.A. CFI;1,78;23,61
13;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO VR S.A.;1,79;23,72
14;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;PAN CFI;1,80;23,88
15;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;MERCANTIL FINANCEIRA;1,82;24,16
16;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO C6 CONSIG;1,83;24,30
17;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO INDUSTRIAL DO BRASIL S.A.;1,83;24,32
18;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO CREFISA S.A.;1,83;24,34
19;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BRB - CFI S/A;1,88;24,99
20;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO TRICURY S.A.;1,89;25,23
21;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO DA AMAZONIA S.A.;2,03;27,30
22;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO SOFISA S.A.;2,06;27,64
23;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;CAIXA ECONOMICA FEDERAL;2,11;28,51
24;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO BRASILEIRO DE CRÉDITO S.A.;2,23;30,31
25;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO C6 S.A.;2,32;31,60
26;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO DO EST. DE SE S.A.;2,45;33,64
27;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO VOTORANTIM S.A.;2,52;34,80
28;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO BRADESCO FINANC. S.A.;2,62;36,44
29;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BANCO BTG PACTUAL S.A.;2,75;38,50
30;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;AYMORÉ CFI S.A.;2,86;40,25
31;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO SANTANDER (BRASIL) S.A.;3,19;45,69
32;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;CREDITÁ S.A. CFI;3,25;46,81
33;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;FACTA S.A. CFI;3,41;49,45
34;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;OMNI SA CFI;3,42;49,75
35;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO RNX S.A.;3,45;50,23
36;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO DO ESTADO DO RS S.A.;3,47;50,52
37;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;SINOSSERRA S/A - SCFI;3,60;52,85
38;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;TODESCREDI S/A - CFI;3,63;53,42
39;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BANCO INBURSA;3,76;55,68
40;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;ITAÚ UNIBANCO S.A.;3,92;58,57
41;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;QISTA S.A. CFI;3,97;59,49
42;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO BANESTES S.A.;4,05;61,05
43;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO XP S.A.;4,11;62,12
44;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO DO BRASIL S.A.;4,12;62,33
45;Pessoa Física;Crédito pessoal não-consignado - Pré-fixado;BCO DO NORDESTE DO BRASIL S.A.;4,13;62,46
