Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR;CAIXA ECONOMICA FEDERAL;0,62;7,69
2;Pessoa Física;Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR;BCO COOPERATIVO SICREDI S.A.;0,68;8,47
3;Pessoa Física;Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR;BCO BANESTES S.A.;0,71;8,88
4;Pessoa Física;Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR;BRB - BCO DE BRASILIA S.A.;0,72;9,00
5;Pessoa Física;Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR;BCO DO EST. DO PA S.A.;0,76;9,46
6;Pessoa Física;Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR;BCO DO EST. DE SE S.A.;0,77;9,61
7;Pessoa Física;Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR;BANCO SICOOB S.A.;0,79;9,91
8;Pessoa Física;Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR;BCO DO BRASIL S.A.;0,79;9,92
9;Pessoa Física;Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR;ITAÚ UNIBANCO S.A.;0,83;10,41
10;Pessoa Física;Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR;BCO DO ESTADO DO RS S.A.;0,83;10,46
11;Pessoa Física;Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR;BCO BRADESCO S.A.;0,83;10,49
12;Pessoa Física;Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR;BANCO INTER;0,88;11,13
13;Pessoa Física;Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR;BCO SANTANDER (BRASIL) S.A.;0,90;11,36
