Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;BCO SAFRA S.A.;0,40;4,93
2;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;BCO BOCOM BBM S.A.;0,85;10,67
3;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;STONE CFI S.A.;0,88;11,15
4;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;ITAÚ UNIBANCO S.A.;0,90;11,38
5;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;BCO DA AMAZONIA S.A.;1,19;15,21
6;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;BCO BNP PARIBAS BRASIL S A;1,27;16,33
7;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;BCO XP S.A.;1,28;16,54
8;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;BCO BRADESCO S.A.;1,34;17,38
9;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;BCO ABC BRASIL S.A.;1,51;19,76
10;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;BCO LETSBANK S.A.;1,56;20,46
11;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;BCO GUANABARA S.A.;1,57;20,52
12;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;BCO SOFISA S.A.;1,68;22,11
13;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;BCO DO BRASIL S.A.;1,73;22,81
14;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;BCO VOTORANTIM S.A.;1,74;22,95
15;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;BCO MIZUHO S.A.;1,82;24,16
16;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;BCO DO EST. DE SE S.A.;2,12;28,57
17;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pós-fixado referenciado em juros flutuantes;BANCO SEMEAR;2,33;31,89
