Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO SAFRA S.A.;0,34;4,19
2;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO INDUSTRIAL DO BRASIL S.A.;0,99;12,59
3;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;CAIXA ECONOMICA FEDERAL;1,04;13,22
4;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO BRADESCO S.A.;1,08;13,80
5;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO XP S.A.;1,12;14,26
6;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO ALFA DE INVESTIMENTO S.A.;1,28;16,47
7;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;ITAÚ UNIBANCO S.A.;1,35;17,52
8;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO TRIANGULO S.A.;1,36;17,66
9;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BANCO VOITER;1,37;17,75
10;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO BOCOM BBM S.A.;1,39;18,03
11;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BANCO ORIGINAL;1,41;18,24
12;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO DO BRASIL S.A.;1,46;18,97
13;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO ABC BRASIL S.A.;1,46;19,05
14;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO DES. DE MG S.A.;1,51;19,73
15;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO SOFISA S.A.;1,55;20,27
16;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO DO EST. DE SE S.A.;1,58;20,64
17;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO BS2 S.A.;1,59;20,84
18;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO DA AMAZONIA S.A.;1,61;21,10
19;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO GUANABARA S.A.;1,62;21,26
20;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO DAYCOVAL S.A;1,66;21,86
21;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO DO ESTADO DO RS S.A.;1,66;21,90
22;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO BANESTES S.A.;1,67;22,02
23;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO TRICURY S.A.;1,98;26,55
24;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BANCO SICOOB S.A.;4,75;74,49
25;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pós-fixado referenciado em juros flutuantes;BCO DO EST. DO PA S.A.;4,80;75,57
