Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;DEUTSCHE BANK S.A.BCO ALEMAO;0,99;12,49
2;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;CAIXA ECONOMICA FEDERAL;1,23;15,79
3;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BOFA MERRILL LYNCH BM S.A.;1,42;18,47
4;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO DO ESTADO DO RS S.A.;1,50;19,58
5;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO SANTANDER (BRASIL) S.A.;1,56;20,35
6;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO SAFRA S.A.;1,67;22,02
7;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO ABC BRASIL S.A.;1,69;22,22
8;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO GUANABARA S.A.;1,72;22,63
9;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO CITIBANK S.A.;1,73;22,91
10;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO RODOBENS S.A.;1,74;22,96
11;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO DAYCOVAL S.A;1,81;23,97
12;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;FINANC ALFA S.A. CFI;1,83;24,31
13;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO BRADESCO S.A.;1,87;24,95
14;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO BS2 S.A.;1,88;25,05
15;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;ITAÚ UNIBANCO S.A.;1,93;25,73
16;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO LUSO BRASILEIRO S.A.;2,02;27,11
17;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO BANESTES S.A.;2,02;27,12
18;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO SOFISA S.A.;2,03;27,31
19;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO FIBRA S.A.;2,03;27,32
20;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO PAULISTA S.A.;2,17;29,34
21;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO DO BRASIL S.A.;2,18;29,57
22;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BANCO MASTER;2,18;29,60
23;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO RIBEIRAO PRETO S.A.;2,23;30,33
24;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO TRIANGULO S.A.;2,68;37,39
25;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO PINE S.A.;3,51;51,20
26;Pessoa Jurídica;Conta garantida - Pós-fixado referenciado em juros flutuantes;BCO MERCANTIL DO BRASIL S.A.;3,72;54,92
