Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Jurídica;Antecipação de faturas de cartão de crédito - Pré-fixado;BCO BS2 S.A.;0,85;10,64
2;Pessoa Jurídica;Antecipação de faturas de cartão de crédito - Pré-fixado;BCO SAFRA S.A.;0,90;11,30
3;Pessoa Jurídica;Antecipação de faturas de cartão de crédito - Pré-fixado;BCO BRADESCO S.A.;0,92;11,55
4;Pessoa Jurídica;Antecipação de faturas de cartão de crédito - Pré-fixado;NU FINANCEIRA S.A. CFI;0,92;11,63
5;Pessoa Jurídica;Antecipação de faturas de cartão de crédito - Pré-fixado;BANCO BTG PACTUAL S.A.;0,93;11,69
6;Pessoa Jurídica;Antecipação de faturas de cartão de crédito - Pré-fixado;BCO VOTORANTIM S.A.;0,93;11,76
7;Pessoa Jurídica;Antecipação de faturas de cartão de crédito - Pré-fixado;BANCOSEGURO S.A.;0,94;11,92
8;Pessoa Jurídica;Antecipação de faturas de cartão de crédito - Pré-fixado;BCO HSBC S.A.;0,96;12,18
9;Pessoa Jurídica;Antecipação de faturas de cartão de crédito - Pré-fixado;BCO FIBRA S.A.;1,00;12,71
10;Pessoa Jurídica;Antecipação de faturas de cartão de crédito - Pré-fixado;BCO DO BRASIL S.A.;1,08;13,71
11;Pessoa Jurídica;Antecipação de faturas de cartão de crédito - Pré-fixado;BCO XP S.A.;1,21;15,47
12;Pessoa Jurídica;Antecipação de faturas de cartão de crédito - Pré-fixado;BCO RIBEIRAO PRETO S.A.;1,24;15,99
13;Pessoa Jurídica;Antecipação de faturas de cartão de crédito - Pré-fixado;BCO SANTANDER (BRASIL) S.A.;1,37;17,78
14;Pessoa Jurídica;Antecipação de faturas de cartão de crédito - Pré-fixado;BCO SENFF S.A.;1,51;19,69
15;Pessoa Jurídica;Antecipação de faturas de cartão de crédito - Pré-fixado;BCO DA AMAZONIA S.A.;1,73;22,90
16;Pessoa Jurídica;Antecipação de faturas de cartão de crédito - Pré-fixado;ITAÚ UNIBANCO S.A.;2,04;27,48
