Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO VOLKSWAGEN S.A;0,10;1,18
2;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BANCOSEGURO S.A.;0,91;11,44
3;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO DIGIMAIS S.A.;1,08;13,73
4;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BANCO SICOOB S.A.;1,08;13,78
5;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO MUFG BRASIL S.A.;1,22;15,70
6;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO XP S.A.;1,30;16,77
7;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO DO NORDESTE DO BRASIL S.A.;1,40;18,17
8;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO HSBC S.A.;1,43;18,62
9;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO ABC BRASIL S.A.;1,49;19,43
10;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BANCO ORIGINAL;1,50;19,57
11;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BANCO INBURSA;1,61;21,06
12;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;REALIZE CFI S.A.;1,62;21,23
13;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;ITAÚ UNIBANCO S.A.;1,64;21,61
14;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO DAYCOVAL S.A;1,72;22,76
15;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO SAFRA S.A.;1,76;23,26
16;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO C6 S.A.;1,85;24,62
17;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO BRADESCO S.A.;1,95;26,04
18;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO DO EST. DO PA S.A.;2,10;28,26
19;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO PAULISTA S.A.;2,10;28,28
20;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO GUANABARA S.A.;2,16;29,26
21;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO HONDA S.A.;2,18;29,60
22;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO BS2 S.A.;2,21;30,04
23;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO INDUSCRED DE INVESTIM. S/A;2,31;31,53
24;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO SENFF S.A.;2,43;33,39
25;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO DA AMAZONIA S.A.;2,48;34,11
26;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO SANTANDER (BRASIL) S.A.;2,61;36,29
27;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;STARA FINANCEIRA S.A. - CFI;2,78;38,94
28;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;PORTOSEG S.A. CFI;2,81;39,46
29;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;AGORACRED S/A SCFI;2,85;40,10
30;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO DO BRASIL S.A.;2,88;40,63
31;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;CAIXA ECONOMICA FEDERAL;3,01;42,78
32;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO DO ESTADO DO RS S.A.;3,69;54,40
33;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO TRIANGULO S.A.;4,17;63,22
34;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BRB - BCO DE BRASILIA S.A.;4,29;65,52
35;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;VIA CERTA FINANCIADORA S.A. - CFI;4,48;69,12
36;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;CORA SCFI;4,51;69,71
37;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;QISTA S.A. CFI;4,63;72,16
38;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BCO RNX S.A.;4,89;77,26
39;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;BANCO BTG PACTUAL S.A.;5,66;93,57
40;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;NU FINANCEIRA S.A. CFI;6,19;105,55
41;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;COBUCCIO S.A. SCFI;8,60;169,04
42;Pessoa Jurídica;Capital de giro com prazo até 365 dias - Pré-fixado;MERCADO CRÉDITO SCFI S.A.;8,60;169,22
