Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO MERCANTIL DO BRASIL S.A.;0,86;10,86
2;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;DEUTSCHE BANK S.A.BCO ALEMAO;1,06;13,47
3;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BANCO SICOOB S.A.;1,16;14,79
4;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO HSBC S.A.;1,16;14,84
5;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO XP S.A.;1,20;15,37
6;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO CATERPILLAR S.A.;1,21;15,49
7;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO C6 S.A.;1,36;17,57
8;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO ABC BRASIL S.A.;1,42;18,41
9;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO FIBRA S.A.;1,52;19,79
10;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO BS2 S.A.;1,52;19,85
11;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO DO NORDESTE DO BRASIL S.A.;1,63;21,45
12;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO DO ESTADO DO RS S.A.;1,65;21,72
13;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BANCO RANDON S.A.;1,65;21,73
14;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO SAFRA S.A.;1,67;22,04
15;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;ITAÚ UNIBANCO S.A.;1,68;22,15
16;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BANCO ORIGINAL;1,68;22,20
17;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO DAYCOVAL S.A;1,69;22,34
18;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO DES. DE MG S.A.;1,71;22,54
19;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO SENFF S.A.;1,80;23,88
20;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;CARUANA SCFI;1,82;24,12
21;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO BANESTES S.A.;1,86;24,73
22;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BANCO INTER;1,90;25,31
23;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO INDUSTRIAL DO BRASIL S.A.;1,98;26,49
24;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO TRIANGULO S.A.;1,99;26,65
25;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO BRADESCO S.A.;1,99;26,66
26;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;NOVO BCO CONTINENTAL S.A. - BM;2,03;27,24
27;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO DO EST. DO PA S.A.;2,04;27,40
28;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO RNX S.A.;2,04;27,45
29;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO SOFISA S.A.;2,04;27,47
30;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BANCO TOPÁZIO S.A.;2,05;27,54
31;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO VOLVO BRASIL S.A.;2,12;28,61
32;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;GAZINCRED S.A. SCFI;2,15;29,03
33;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;FACTA S.A. CFI;2,15;29,04
34;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;CAIXA ECONOMICA FEDERAL;2,18;29,47
35;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO DO BRASIL S.A.;2,18;29,57
36;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO SANTANDER (BRASIL) S.A.;2,21;30,02
37;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO DA AMAZONIA S.A.;2,23;30,34
38;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;OMNI BANCO S.A.;2,24;30,38
39;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO DO EST. DE SE S.A.;2,33;31,82
40;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BRB - BCO DE BRASILIA S.A.;2,51;34,69
41;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BCO VOTORANTIM S.A.;2,58;35,82
42;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;PORTOSEG S.A. CFI;2,66;37,08
43;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;MERCADO CRÉDITO SCFI S.A.;3,13;44,77
44;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;BANCO BTG PACTUAL S.A.;3,14;44,97
45;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;OMNI SA CFI;3,20;45,97
46;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;RPW S.A. SCFI;3,63;53,41
47;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;COBUCCIO S.A. SCFI;4,82;76,01
48;Pessoa Jurídica;Capital de giro com prazo superior a 365 dias - Pré-fixado;NU FINANCEIRA S.A. CFI;4,96;78,86
