Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO DO NORDESTE DO BRASIL S.A.;1,37;17,69
2;Pessoa Jurídica;Conta garantida - Pré-fixado;BANCO PAN;1,54;20,19
3;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO BMG S.A.;1,69;22,27
4;Pessoa Jurídica;Conta garantida - Pré-fixado;BANCO MASTER;1,70;22,37
5;Pessoa Jurídica;Conta garantida - Pré-fixado;FINANC ALFA S.A. CFI;1,72;22,66
6;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO SAFRA S.A.;1,93;25,80
7;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO DO ESTADO DO RS S.A.;2,09;28,22
8;Pessoa Jurídica;Conta garantida - Pré-fixado;BRB - BCO DE BRASILIA S.A.;2,12;28,61
9;Pessoa Jurídica;Conta garantida - Pré-fixado;BANCO JOHN DEERE S.A.;2,22;30,08
10;Pessoa Jurídica;Conta garantida - Pré-fixado;BANCO SICOOB S.A.;2,22;30,17
11;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO BS2 S.A.;2,32;31,75
12;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO BANESTES S.A.;2,39;32,71
13;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO DO BRASIL S.A.;2,39;32,84
14;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO DIGIMAIS S.A.;2,41;33,03
15;Pessoa Jurídica;Conta garantida - Pré-fixado;BANCO SEMEAR;2,69;37,58
16;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO MERCANTIL DO BRASIL S.A.;2,89;40,72
17;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO SANTANDER (BRASIL) S.A.;2,97;42,07
18;Pessoa Jurídica;Conta garantida - Pré-fixado;OMNI BANCO S.A.;3,22;46,32
19;Pessoa Jurídica;Conta garantida - Pré-fixado;ITAÚ UNIBANCO S.A.;3,53;51,59
20;Pessoa Jurídica;Conta garantida - Pré-fixado;BANCO TOPÁZIO S.A.;3,56;52,07
21;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO RENDIMENTO S.A.;3,70;54,65
22;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO DO EST. DE SE S.A.;3,82;56,82
23;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO INDUSCRED DE INVESTIM. S/A;4,40;67,60
24;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO TRIANGULO S.A.;4,53;70,08
25;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO BRADESCO S.A.;4,63;72,16
26;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO DAYCOVAL S.A;6,00;101,21
27;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO GUANABARA S.A.;7,32;133,41
28;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO PINE S.A.;8,27;159,58
29;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO FIBRA S.A.;8,61;169,57
30;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO SOFISA S.A.;10,33;225,22
31;Pessoa Jurídica;Conta garantida - Pré-fixado;BCO C6 S.A.;14,59;412,83
