Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Jurídica;Desconto de cheques - Pré-fixado;BCO BANESTES S.A.;0,14;1,67
2;Pessoa Jurídica;Desconto de cheques - Pré-fixado;BCO SAFRA S.A.;1,33;17,19
3;Pessoa Jurídica;Desconto de cheques - Pré-fixado;BCO DO NORDESTE DO BRASIL S.A.;1,85;24,56
4;Pessoa Jurídica;Desconto de cheques - Pré-fixado;BCO DO ESTADO DO RS S.A.;2,12;28,64
5;Pessoa Jurídica;Desconto de cheques - Pré-fixado;BCO SANTANDER (BRASIL) S.A.;2,15;29,05
6;Pessoa Jurídica;Desconto de cheques - Pré-fixado;BCO BRADESCO S.A.;2,40;32,89
7;Pessoa Jurídica;Desconto de cheques - Pré-fixado;BCO DO BRASIL S.A.;2,44;33,56
8;Pessoa Jurídica;Desconto de cheques - Pré-fixado;CAIXA ECONOMICA FEDERAL;2,74;38,31
9;Pessoa Jurídica;Desconto de cheques - Pré-fixado;NOVO BCO CONTINENTAL S.A. - BM;2,96;41,90
10;Pessoa Jurídica;Desconto de cheques - Pré-fixado;FINAMAX S.A. CFI;3,32;48,05
11;Pessoa Jurídica;Desconto de cheques - Pré-fixado;BRB - BCO DE BRASILIA S.A.;5,85;97,87
