Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BCO BANESTES S.A.;0,32;3,86
2;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BCO VOTORANTIM S.A.;0,89;11,23
3;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BOFA MERRILL LYNCH BM S.A.;0,92;11,64
4;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BCO CITIBANK S.A.;0,95;11,98
5;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BCO DE LAGE LANDEN BRASIL S.A.;0,95;12,01
6;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BCO J.P. MORGAN S.A.;0,97;12,26
7;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BANCO INTER;0,99;12,48
8;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BANCO BTG PACTUAL S.A.;1,04;13,25
9;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BCO SAFRA S.A.;1,07;13,56
10;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BCO BNP PARIBAS BRASIL S A;1,07;13,66
11;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BCO MERCEDES-BENZ S.A.;1,10;13,99
12;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BCO HSBC S.A.;1,10;14,06
13;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BCO STELLANTIS S.A.;1,19;15,29
14;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BCO VOLKSWAGEN S.A;1,19;15,32
15;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BCO SANTANDER (BRASIL) S.A.;1,21;15,59
16;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BANCO CNH INDUSTRIAL CAPITAL S.A;1,28;16,51
17;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BCO SOCIETE GENERALE BRASIL;1,30;16,75
18;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BCO BRADESCO S.A.;1,35;17,43
19;Pessoa Jurídica;Desconto de duplicatas - Pré-fixado;BCO DO BRASIL S.A.;1,37;17,72
